Store,Train_Samples,Test_Samples,MAE,RMSE,R2_Split,R2_CV,CV_Std
1,126,14,72439.45435176605,85451.07386898407,0.17275631800546543,-0.000830985282017771,0.07660253907130722
2,126,14,49712.18884232557,62261.85919458332,0.4708504500573495,-0.1552582297628394,0.20320654728600288
3,126,14,11963.96907421185,14492.063541704212,0.5968306466564692,0.14137392041600305,0.246431293238704
4,126,14,88817.99847587713,100731.70507677522,-0.34516431671300274,-0.7251575030977951,1.1606531630450925
5,126,14,15985.35794300487,18240.187790888467,-0.28864363099435497,-0.40965666771908554,0.5820547960846074
6,126,14,68628.73971521716,85521.2699363257,0.158343110283918,-0.19730012314020587,0.39551538093921157
7,126,14,50304.036358074685,60305.561727615204,0.02270546297807774,0.09785225189240057,0.1580539802298391
8,126,14,27443.495909848127,38181.15752490398,0.13689969640418242,-0.34142299397763604,0.6762714178865281
9,126,14,17208.096327452968,21305.149054976577,0.3690877288596579,-0.2648924112266616,0.3455605155214715
10,126,14,101785.90691932893,112928.83881790357,0.38126482960380104,0.11445475159013659,0.06950857015851829
11,126,14,67710.80893461907,80777.18112655316,0.30539420220680213,0.03798335112150377,0.08242425109781293
12,126,14,63526.460392050874,69901.19583952146,0.36149130646469474,-0.15748382244864528,0.38682215586611285
13,126,14,86632.78086053098,103019.3671576177,-1.1658893608314909,-0.11908170543131247,0.16496960610895914
14,126,14,238987.40907288235,250080.21014167953,-0.5265102439722351,-0.49492004652781213,0.49869399087266786
15,126,14,34585.48693801919,40739.845076439546,-0.7663472033439149,-0.2235718804889865,0.23054182781606453
16,126,14,42184.754720234,47733.681377450936,-0.37671120843396344,-0.1752411981974324,0.32739144638761103
17,126,14,62802.6623512301,76575.44228975232,-0.5973137319834045,-0.13666917042880303,0.16830230370795554
18,126,14,49285.221802083535,58011.48220761522,0.1965972045446942,-0.22935784772716805,0.40897838366570033
19,126,14,58194.21261001086,69100.80796583746,0.14820914329051027,-0.05665739726433794,0.12043476889854939
20,126,14,72778.59840360253,86778.66559546214,0.4839445413162895,0.09460255453986957,0.05437523626073779
21,126,14,48647.372669938195,60824.885270292216,-0.20420257068902692,-0.23060789403463886,0.23070532326092263
22,126,14,53714.365602171514,63246.520357376554,-0.6939006891483122,-0.2039928873703451,0.31147695474953907
23,126,14,85531.98555063632,105258.05216805321,0.2592454296348271,-0.011968338364030684,0.06289557235669956
24,126,14,57430.78306129676,67915.44726289898,0.1322655944283646,0.046845542384803276,0.13367486498001943
25,126,14,26549.6613152201,35315.005421116424,-0.14365154379912348,-0.08302661648626652,0.10402683638500619
26,126,14,42964.07523701329,48105.54920772217,0.17129986193742752,0.06963302143995745,0.1321312284729716
27,126,14,73802.24860394218,93286.77284685339,-0.3407719068157149,0.05456090772054907,0.09598376633313226
28,126,14,126668.17066635804,151341.0362398411,0.169530512131712,0.09433319604954149,0.14730352344636977
29,126,14,40895.84406078114,52310.159975892915,-0.440774485547589,-0.21793152424894496,0.2123999579624272
30,126,14,9911.889686350009,10842.537493350668,-0.9292482854982207,-0.1701447651133625,0.324548247253309
31,126,14,32154.367049888075,41185.87387597299,0.46267262792297903,-0.10423836838927374,0.2341976414557278
32,126,14,70868.65554925254,83207.92710719946,-2.3745968782468787,-1.16484047814151,2.098394553435681
33,126,14,22268.440919099092,27137.28023841395,-0.7749028505411619,-1.1708458655726541,1.08931912507877
34,126,14,18235.736538096073,27196.442983073553,0.3896563351437897,-0.2540231129686146,0.29230744014661536
35,126,14,58387.40489424352,74811.87771449967,-1.9439560816371002,-0.12674873260281833,0.31914187573259745
36,126,14,17245.602265131678,20936.654799199343,0.07066266492796469,0.14428584448940335,0.37455958857776883
37,126,14,9327.051144125979,11005.158886243033,0.1900058076146217,0.07181792052641109,0.0686957554762903
38,126,14,35879.568175286506,40338.8964875885,-3.164558538570491,-0.15255326978778205,0.5904145601713537
39,126,14,95755.00892187997,112641.86807880114,-0.30043796852736926,-0.21253569339820827,0.2599278550666824
40,126,14,44279.53997368045,54574.77343079013,-0.316520807324425,-0.0018043192675230024,0.12790100079386182
41,126,14,74859.736160602,86865.18938832915,0.14662129459817042,-0.06902094504702216,0.13082816396323815
42,126,14,51116.34870639113,60799.08651398561,-0.12241291297344281,-0.165670835404049,0.25052666113763894
43,126,14,28978.613995071075,35294.823960804395,-1.0910734207506865,-0.4651606408375072,0.7742039393100913
44,126,14,13249.306011235134,16169.347916090726,-0.4053497703953317,-0.6223712653360429,1.014194013599467
45,126,14,60646.08284350997,67899.15753027503,-3.797992225445541,-0.37188987163552456,0.7273914525071005
